Прізвище;Ім’я;По батькові;Стать;Дата народження;Посада;Місто;Адреса;Телефон;Email
Сацюк;Левко;Григорович;male;1970-11-14;Складальник;село Козятин;вулиця Танкістів, буд. 0, Старокостянтинів, 58358;009 439-18-41;roksolanagoliash@example.com
Саєнко;Одарка;Дмитрівна;female;1971-06-28;Стоматолог;місто Маріуполь;провулок Жоліо-Кюрі, буд. 74 кв. 160, Рудки, 17439;109 41 75;yvashchenko-zakharchenko@example.com
Єременко;Михайло;Вікторович;male;1945-05-31;Журналіст;хутір Узин;провулок Училищна, буд. 26, Жданівка, 81556;+380 81 977 28 32;dandrusenko@example.org
Деревʼянко;Одарка;Олегівна;female;1999-01-11;Співак;село Коломия;проспект Інглезі, буд. 558 кв. 5, Дніпрорудне, 22012;+380 73 340 18 99;romanlevchenko@example.com
Шинкаренко;Юхим;Петрович;male;2001-08-09;Музичний редактор;селище Бобринець;проспект Госпітальний, буд. 769 кв. 739, Кам'янка (Черкаська область), 33878;077 537-99-72;marko68@example.org
Михайлюк;Любов;Степанівна;female;1966-04-29;Художник;селище Новоазовськ;шосе Михайла Божія, буд. 582, Сокаль, 95756;001 781 17 96;atiahnybok@example.com
Петрик;Соломон;Степанович;male;1974-04-26;Краєзнавець;село Добропілля;шосе Аграрна, буд. 3 кв. 6, Дубно, 23724;567 07 41;liubov50@example.com
Алексюк;Марко;Іванович;male;2004-09-21;Історик;село Єнакієве;вулиця Почаївська, буд. 81 кв. 8, Луганськ, 96491;+380 29 002-92-43;rozaliiadrobakha@example.net
Петрик;Йосип;Анатолійович;male;1964-06-11;Літературознавець;село Старобільськ;провулок Ярморочна площа, буд. 3 кв. 84, Біла Церква, 14292;133 79 76;iatseniukoleh@example.net
Цюпа;Едита;Вікторівна;female;2000-10-14;Співак;село Верхньодніпровськ;площа Локомотивний 3-й, буд. 956, Шпола, 25276;+380 02 441 22 89;viacheslav37@example.net
Зубко;Венедикт;Максимович;male;1982-04-05;Клоун;місто Костопіль;узвіз Тираспольська, буд. 94, Гірське, 93615;+380 94 034-98-18;leontiiokhrymovych@example.net
Захаренко;Юстим;Петрович;male;1939-10-03;Електромонтажник;місто Новий Калинів;проспект Евлії Челебі, буд. 65, Рубіжне, 10084;097 380 07 97;artiukholena@example.com
Артеменко;Устим;Іванович;male;2006-09-07;Кінорежисер;хутір Феодосія;площа Евлії Челебі, буд. 81 кв. 016, Арциз, 15137;049 704 61 97;mzaporozhets@example.net
Наливайко;Симон;Романович;male;1939-01-04;Драматург;хутір Вуглегірськ;сквер Яблучна, буд. 04 кв. 780, Ірпінь, 77566;+380 84 897 94 72;heorhii84@example.net
Теличенко;Варфоломій;Іванович;male;1938-03-08;Няня;хутір Інкерман;шосе Юннатів 2-й, буд. 18 кв. 793, Мар'їнка, 59190;+380 86 070 30 55;rebrykazar@example.org
Єрченко;Аркадій;Олегович;male;1954-06-10;Фольклорист;село Здолбунів;сквер Крайня, буд. 38, Волноваха, 55928;+380 (65) 268-49-39;iaroslava16@example.net
Єрмоленко;Марʼяна;Дмитрівна;female;1977-07-15;Юрист;місто Самбір;сквер Надіїі, буд. 7 кв. 5, Феодосія, 03405;505-34-95;hryhorii24@example.com
Лесик;Ярема;Анатолійович;male;1975-08-20;Дипломат;місто Немирів;сквер Балківська, буд. 77, Кам'янське, 77459;358-19-78;oduplii@example.com
Ємець;Борислав;Юрійович;male;1972-04-10;Кінорежисер;місто Стебник;шосе Коцюбинського, буд. 12 кв. 42, Бахчисарай, 40433;074 058 45 92;shelestmyroslav@example.net
Бабій;Аркадій;Дмитрович;male;1938-04-24;Археолог;селище Кропивницький;набережна Сабанський, буд. 6, Балаклія, 25873;691-13-63;irenababarychenko@example.com
Тиха;Розалія;Петрівна;female;1983-01-05;Геолог;село Заставна;узвіз Акордна, буд. 74 кв. 370, Вільногірськ, 89654;+380 70 910-10-34;anita37@example.org
Франко;Леон;Миколайович;male;1947-12-16;Біолог;селище Глиняни;парк Ждахи, буд. 4, Суми, 73314;+380 74 610-80-39;yzhalilo@example.org
Швачка;Алевтин;Григорович;male;1963-11-30;Мірошник;селище Кагарлик;набережна Фруктовий, буд. 7, Павлоград, 27239;+380 44 935-79-95;vasylechkohryhorii@example.net
Єрошенко;Ярослав;Андрійович;male;1954-11-18;Мінералог;місто Сокиряни;набережна Куниці, буд. 1 кв. 743, Сокиряни, 57846;+380 (24) 187-81-75;vashchenkozorian@example.org
Рябошапка;Ганна;Григорівна;female;1975-10-16;Бібліограф;селище Новодністровськ;сквер Бузковий, буд. 210, Середина-Буда, 17553;+380 95 528 36 95;teodor83@example.com
Вергун;Ігнат;Анатолійович;male;1949-04-01;Випробувач;хутір Покровськ;площа Каштанова, буд. 1, Єнакієве, 19042;+380 (53) 413-79-12;panasmiroshnychenko@example.com
Асаула;Юстина;Миколаївна;female;1968-05-21;Антрополог;місто Зіньків;сквер Рекордний, буд. 2, Кременчук, 64712;784-60-97;hryhoriikabaliuk@example.org
Чекалюк;Богодар;Володимирович;male;1973-09-09;Фермер;селище Тростянець;площа Шкіперська, буд. 54, Дніпро, 17884;+380 91 383 41 69;leopoldhavryliuk@example.com
Ткаченко;Тимофій;Володимирович;male;1939-08-27;Мовознавець;хутір Славутич;вулиця Садова 2-га, буд. 2, Торецьк, 07051;+380 (35) 893-57-62;wkadeniuk@example.org
Коваленко;Одарка;Анатоліївна;female;1958-10-01;Кінорежисер;селище Зміїв;сквер Патріотична, буд. 977 кв. 384, Хрестівка, 19842;+380 93 885 38 69;ivanbashtan@example.com
Адаменко;Охрім;Володимирович;male;1955-10-30;Круп'є;хутір Каховка;площа Миколи Міхновського, буд. 1, Яремче, 37150;+380 19 869 42 70;iustyna00@example.net
Хомик;Азар;Михайлович;male;1995-05-15;Співак;село Березівка;провулок Черкаська, буд. 7, Стебник, 30984;591 92 89;trokhym17@example.com
Ткаченко;Соломія;Олександрівна;female;1981-02-27;Гінеколог;село Чортків;сквер Лінійна, буд. 0, Ізюм, 90533;460 76 89;thavrylenko@example.com
Редько;Сергій;Євгенович;male;1998-05-01;Кіноактор;місто Гребінка;шосе Вознесенський, буд. 97 кв. 45, Решетилівка, 77955;+380 (72) 194-68-30;pylyplemeshko@example.org
Козак;Ярослава;Олегівна;female;1962-08-14;Дипломат;селище Севастополь;сквер Прорізна, буд. 07 кв. 1, Чигирин, 95927;986-89-31;telizhenkovladyslav@example.org
Устенко;Дарина;Степанівна;female;1986-06-12;Дантист;селище Трускавець;провулок Новоберегова, буд. 988, Привілля, 10244;120 22 44;bohuslavaeibozhenko@example.net
Каденюк;Пармен;Петрович;male;2002-05-10;Золотар;місто Таврійськ;узвіз Отамана Чепіги, буд. 001, Попасна, 81160;+380 91 414-29-33;albinamakarenko@example.com
Авдєєнко;Юхим;Олександрович;male;1938-08-24;Палеонтолог;село Мар'їнка;проспект Прохоровська, буд. 35, Вінниця, 43790;706 25 45;frants19@example.com
Онуфрієнко;Оксенія;Миколаївна;female;1969-03-22;Програміст;хутір Васильків;шосе Казковий, буд. 2, Світловодськ, 24359;883-30-97;avramchukalbina@example.org
Ґалаґан;Ярослава;Іванівна;female;2001-11-11;Музичний редактор;селище Нікополь;проспект Лузанівка, буд. 38 кв. 397, Ковель, 58551;074 027 04 38;zhuraveldemyd@example.net
Оліфіренко;Левко;Богданович;male;1965-05-16;Бібліограф;село Брянка;шосе Ушинського, буд. 4, Балта, 82171;462 85 74;oakymenko@example.net
Шаблій;Климент;Григорович;male;1973-05-15;Літературознавець;місто Олександрія;набережна Лінія 53-тя, буд. 29, Долина, 06187;+380 36 465 54 82;korbuttaras@example.net
